     sim.turn     t(hours)      Tp(hours)       Tx(hours)        Ty(hours)
 ----------------------------------------------------------------------------------------------------------------------
         0    0.0000000E+00    0.6193486E+01    0.9106250E+01   -0.4445281E+05
         0    0.0000000E+00    0.6237446E+01    0.9184129E+01   -0.4445749E+05
       100    0.2500000E-01    0.6214677E+01    0.9204607E+01   -0.4489110E+05
       100    0.2500000E-01    0.6269276E+01    0.9293082E+01   -0.4493947E+05
       200    0.5000000E-01    0.6305222E+01    0.9271423E+01   -0.4513023E+05
       200    0.5000000E-01    0.6339964E+01    0.9390952E+01   -0.4534734E+05
       300    0.7500000E-01    0.6322137E+01    0.9340960E+01   -0.4541745E+05
       300    0.7500000E-01    0.6357018E+01    0.9477013E+01   -0.4570057E+05
       400    0.1000000E+00    0.6328731E+01    0.9440866E+01   -0.4584770E+05
       400    0.1000000E+00    0.6409247E+01    0.9534758E+01   -0.4593830E+05
       500    0.1250000E+00    0.6368415E+01    0.9512589E+01   -0.4612516E+05
       500    0.1250000E+00    0.6445496E+01    0.9630476E+01   -0.4633193E+05
       600    0.1500000E+00    0.6443230E+01    0.9589749E+01   -0.4642331E+05
       600    0.1500000E+00    0.6435338E+01    0.9728474E+01   -0.4674229E+05
       700    0.1750000E+00    0.6440187E+01    0.9687973E+01   -0.4686377E+05
       700    0.1750000E+00    0.6483025E+01    0.9781822E+01   -0.4691955E+05
       800    0.2000000E+00    0.6425089E+01    0.9781266E+01   -0.4725409E+05
       800    0.2000000E+00    0.6562228E+01    0.9848880E+01   -0.4715702E+05
       900    0.2250000E+00    0.6519420E+01    0.9834898E+01   -0.4740122E+05
       900    0.2250000E+00    0.6578588E+01    0.9977713E+01   -0.4772289E+05
      1000    0.2500000E+00    0.6572439E+01    0.9898742E+01   -0.4765727E+05
      1000    0.2500000E+00    0.6564558E+01    0.1008941E+02   -0.4820570E+05
      1100    0.2750000E+00    0.6543763E+01    0.1003607E+02   -0.4828020E+05
      1100    0.2750000E+00    0.6632820E+01    0.1012020E+02   -0.4827643E+05
      1200    0.3000000E+00    0.6584688E+01    0.1010182E+02   -0.4849947E+05
      1200    0.3000000E+00    0.6708108E+01    0.1016244E+02   -0.4839500E+05
