 sim.turn     t(hours)        L(cm^-2 s^-1)  reduction factor (hourglass,crossing angle) 
 ----------------------------------------------------------------------------------------
         0    0.0000000E+00    0.9984322E+27    0.9738328E+00
       100    0.4940124E-01    0.9876331E+27    0.9736984E+00
       200    0.9880248E-01    0.9776032E+27    0.9737864E+00
       300    0.1482037E+00    0.9673469E+27    0.9737995E+00
       400    0.1976050E+00    0.9565046E+27    0.9737774E+00
       500    0.2470062E+00    0.9464740E+27    0.9738923E+00
       600    0.2964074E+00    0.9362166E+27    0.9739153E+00
       700    0.3458087E+00    0.9257237E+27    0.9738532E+00
       800    0.3952099E+00    0.9161678E+27    0.9740199E+00
       900    0.4446112E+00    0.9064892E+27    0.9740849E+00
      1000    0.4940124E+00    0.8972177E+27    0.9739701E+00
      1100    0.5434136E+00    0.8880919E+27    0.9740261E+00
      1200    0.5928149E+00    0.8792941E+27    0.9741507E+00
      1300    0.6422161E+00    0.8701949E+27    0.9741366E+00
      1400    0.6916174E+00    0.8615618E+27    0.9740697E+00
      1500    0.7410187E+00    0.8533161E+27    0.9741430E+00
      1600    0.7904198E+00    0.8452371E+27    0.9742672E+00
      1700    0.8398211E+00    0.8369899E+27    0.9742573E+00
      1800    0.8892224E+00    0.8287465E+27    0.9741254E+00
      1900    0.9386235E+00    0.8210223E+27    0.9742823E+00
      2000    0.9880248E+00    0.8128725E+27    0.9743313E+00
      2100    0.1037426E+01    0.8047582E+27    0.9742224E+00
      2200    0.1086827E+01    0.7972640E+27    0.9743273E+00
      2300    0.1136229E+01    0.7891262E+27    0.9743081E+00
      2400    0.1185630E+01    0.7821531E+27    0.9742606E+00
      2500    0.1235031E+01    0.7755408E+27    0.9744904E+00
      2600    0.1284432E+01    0.7677091E+27    0.9743191E+00
      2700    0.1333834E+01    0.7605538E+27    0.9743277E+00
      2800    0.1383235E+01    0.7542636E+27    0.9745250E+00
      2900    0.1432636E+01    0.7469422E+27    0.9744115E+00
      3000    0.1482037E+01    0.7400604E+27    0.9743336E+00
      3100    0.1531438E+01    0.7328288E+27    0.9745713E+00
      3200    0.1580840E+01    0.7264574E+27    0.9745347E+00
      3300    0.1630241E+01    0.7198148E+27    0.9744414E+00
      3400    0.1679642E+01    0.7138244E+27    0.9746459E+00
      3500    0.1729043E+01    0.7072473E+27    0.9745795E+00
      3600    0.1778445E+01    0.7009936E+27    0.9745041E+00
      3700    0.1827846E+01    0.6952585E+27    0.9746908E+00
      3800    0.1877247E+01    0.6895513E+27    0.9746137E+00
      3900    0.1926648E+01    0.6840845E+27    0.9745703E+00
      4000    0.1976050E+01    0.6783992E+27    0.9747540E+00
      4100    0.2025451E+01    0.6725062E+27    0.9746673E+00
      4200    0.2074852E+01    0.6669899E+27    0.9746203E+00
      4300    0.2124253E+01    0.6614068E+27    0.9747846E+00
      4400    0.2173655E+01    0.6557378E+27    0.9747251E+00
      4500    0.2223056E+01    0.6502930E+27    0.9746994E+00
      4600    0.2272457E+01    0.6448887E+27    0.9748592E+00
